yil,savas_olumu_yuksek_tahmin
1989,108225
1990,119877
1991,111237
1992,109086
1993,132595
1994,1701127
1995,89532
1996,112813
1997,122245
1998,85989
1999,140060
2000,113925
2001,58810
2002,55321
2003,76740
2004,71140
2005,24844
2006,38330
2007,36284
2008,49691
2009,62133
2010,43376
2011,53404
2012,104108
2013,133468
2014,171806
2015,149425
2016,134813
2017,127908
2018,102034
2019,88650
2020,122591
2021,264264
2022,416149
2023,260183
2024,230821
2025,350592
